Volatility 3 Framework 2.12.0

Offset	Name
0x3911070	\Windows\System32\wpnapps.dll
0x3911b60	\Windows\System32\NlsLexicons0009.dll
0x3911cd0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-GroupPolicy-ClientTools-Package-multimedia~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x3baf5b0	\Windows\assembly\NativeImages_v4.0.30319_64\System.Work0493292f#\cad58d646f6529a66bb4fd4c15e28eed\System.Workflow.Runtime.ni.dll
0x3bf1a10	\$Directory
0x3bf1c10	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Common-Drivers-Package-windows~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x3d581b0	\Windows
0x3d58300	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-BITSExtensions-Server-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x3d58770	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Fax-Server-RSAT-Package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x3fd92f0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-TerminalServices-Licensing-UI-Package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x3fd9670	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-TerminalServices-Licensing-UI-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x3fd98f0	\Windows\System32\DeviceUxRes.dll
0x3fd9df0	\Windows\System32\PortableDeviceSyncProvider.dll
0x42a3070	\$Directory
0x42f7a60	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-RSAT-NIS-Package-ds~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x42f7f20	\$Directory
0x4815250	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-WOW64-Package-sdktools~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x48155d0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-WOW64-Package-sdktools~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x4815b50	\Windows\System32\regsvr32.exe
0x4815ca0	\Windows\System32\en-US\mmcndmgr.dll.mui
0x495b3d0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-UX-ARW-Plugins-Package-printscan~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x495b750	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-UX-ARW-Plugins-Package-Net~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x495b990	\wkssvc
0x495bba0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-NFS-Full-Package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x495be30	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-NFS-Full-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x4b6b300	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-TerminalServices-WebAccess-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
